Entity,Code,Year,Official development assistance (ODA) by recipient (Official donors),1012392-annotations
Afghanistan,AFG,1960,132355190,
Afghanistan,AFG,1961,261804420,
Afghanistan,AFG,1962,126277860,
Afghanistan,AFG,1963,269199900,
Afghanistan,AFG,1964,332256400,
Afghanistan,AFG,1965,376196400,
Afghanistan,AFG,1966,342036700,
Afghanistan,AFG,1967,273396900,
Afghanistan,AFG,1968,188106830,
Afghanistan,AFG,1969,169977870,
Afghanistan,AFG,1970,176502140,
Afghanistan,AFG,1971,262410240,
Afghanistan,AFG,1972,300670600,
Afghanistan,AFG,1973,276275500,
Afghanistan,AFG,1974,215787710,
Afghanistan,AFG,1975,261702880,
Afghanistan,AFG,1976,267334900,
Afghanistan,AFG,1977,285544060,
Afghanistan,AFG,1978,226036200,
Afghanistan,AFG,1979,261153500,
Afghanistan,AFG,1980,70326610,
Afghanistan,AFG,1981,54990820,
Afghanistan,AFG,1982,25538482,
Afghanistan,AFG,1983,41112332,
Afghanistan,AFG,1984,18025072,
Afghanistan,AFG,1985,43938080,
Afghanistan,AFG,1986,5365175,
Afghanistan,AFG,1987,95282840,
Afghanistan,AFG,1988,136480400,
Afghanistan,AFG,1989,267407140,
Afghanistan,AFG,1990,212167730,
Afghanistan,AFG,1991,786986100,
Afghanistan,AFG,1992,323923140,
Afghanistan,AFG,1993,354451870,
Afghanistan,AFG,1994,351787800,
Afghanistan,AFG,1995,281239840,
Afghanistan,AFG,1996,226655460,
Afghanistan,AFG,1997,342399260,
Afghanistan,AFG,1998,246357340,
Afghanistan,AFG,1999,223389760,
Afghanistan,AFG,2000,226869490,
Afghanistan,AFG,2001,714494460,
Afghanistan,AFG,2002,1910827100,
Afghanistan,AFG,2003,2101613000,
Afghanistan,AFG,2004,2868805600,
Afghanistan,AFG,2005,3601090300,
Afghanistan,AFG,2006,3587787500,
Afghanistan,AFG,2007,5636264000,
Afghanistan,AFG,2008,5361243000,
Afghanistan,AFG,2009,7039654400,
Afghanistan,AFG,2010,6755241000,
Afghanistan,AFG,2011,7142606300,
Afghanistan,AFG,2012,6953105400,
Afghanistan,AFG,2013,5265165000,
Afghanistan,AFG,2014,5157641700,
Afghanistan,AFG,2015,4780033000,
Afghanistan,AFG,2016,4545686000,
Afghanistan,AFG,2017,4180861400,
Afghanistan,AFG,2018,3987697000,
Afghanistan,AFG,2019,4472024000,
Afghanistan,AFG,2020,4409268000,
Afghanistan,AFG,2021,4632926700,
Afghanistan,AFG,2022,3914967000,
Afghanistan,AFG,2023,2940187400,
Africa (OECD),,1960,11801862000,
Africa (OECD),,1961,13895836000,
Africa (OECD),,1962,13738829000,
Africa (OECD),,1963,12815988000,
Africa (OECD),,1964,13012297000,
Africa (OECD),,1965,11943180000,
Africa (OECD),,1966,11735788000,
Africa (OECD),,1967,11576465000,
Africa (OECD),,1968,10640912000,
Africa (OECD),,1969,10074586000,
Africa (OECD),,1970,11301518000,
Africa (OECD),,1971,11648836000,
Africa (OECD),,1972,10825704000,
Africa (OECD),,1973,14837973000,
Africa (OECD),,1974,19507550000,
Africa (OECD),,1975,25640116000,
Africa (OECD),,1976,23463733000,
Africa (OECD),,1977,25790523000,
Africa (OECD),,1978,26770452000,
Africa (OECD),,1979,23929960000,
Africa (OECD),,1980,25950798000,
Africa (OECD),,1981,26162792000,
Africa (OECD),,1982,27760288000,
Africa (OECD),,1983,26023674000,
Africa (OECD),,1984,29554807000,
Africa (OECD),,1985,32931496000,
Africa (OECD),,1986,29718720000,
Africa (OECD),,1987,29268337000,
Africa (OECD),,1988,29638416000,
Africa (OECD),,1989,31795993000,
Africa (OECD),,1990,40809190000,
Africa (OECD),,1991,38684990000,
Africa (OECD),,1992,35537666000,
Africa (OECD),,1993,31591731000,
Africa (OECD),,1994,33076683000,
Africa (OECD),,1995,27665508000,
Africa (OECD),,1996,25985730000,
Africa (OECD),,1997,25729008000,
Africa (OECD),,1998,25629014000,
Africa (OECD),,1999,23341371000,
Africa (OECD),,2000,23720964000,
Africa (OECD),,2001,26519440000,
Africa (OECD),,2002,32483574000,
Africa (OECD),,2003,36495966000,
Africa (OECD),,2004,36047106000,
Africa (OECD),,2005,41621844000,
Africa (OECD),,2006,49825694000,
Africa (OECD),,2007,41990320000,
Africa (OECD),,2008,45606896000,
Africa (OECD),,2009,50396082000,
Africa (OECD),,2010,43935547000,
Africa (OECD),,2011,51205040000,
Africa (OECD),,2012,52583084000,
Africa (OECD),,2013,56843588000,
Africa (OECD),,2014,53970506000,
Africa (OECD),,2015,55299342000,
Africa (OECD),,2016,56154325000,
Africa (OECD),,2017,58909946000,
Africa (OECD),,2018,58341368000,
Africa (OECD),,2019,61288790000,
Africa (OECD),,2020,76069420000,
Africa (OECD),,2021,74029260000,
