"Country","Year","Total_Events","Total_Affected","Total_Deaths","Total_Damage_Original","Total_Damage_Adjusted","human_rights","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","kill","disap","tort","polpris","speech","rel_free","dommov","formov","assn","elecsd","wopol","wosoc_p","wecon","trafficking_l","ngo_freedom","v2xpe_exlgender","v2xpe_exlecon","v2x_corr","v2x_regime","v2x_accountability","v2x_veracc","BBP","Populatie","BBP_Perhoofd","Hulp","Hulp_pop","Hulp_cat","v2x_corr_100","v2x_accountability_100"
"China",2005,11,34752066,578,4660860000,7272056057,15.3333339691162,0,0,0,4,9,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0.449,0.498,0.554,0,-0.802,-1.264,2285961149879.85,1303720000,1753.41419160544,1727332500,1.32492598103887,"Laag",55.4,-80.2
"China",2006,20,14990065,430,1687500000,2550622081,25.3333339691162,1,1,0,4,9,0,1,0,0,0,0,0,1,0,2,2,1,1,0,0,0.449,0.498,0.554,0,-0.794,-1.276,2752118657184.02,1311020000,2099.2194300499,1286458900,0.981265655748959,"Laag",55.4,-79.4
"China",2007,10,111093292,1010,4997155000,7343608853,12,1,1,0,3,9,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0.449,0.498,0.554,0,-0.795,-1.269,3550327802998.4,1317885000,2693.95873160283,1397389400,1.0603272667949,"Laag",55.4,-79.5
"China",2008,7,7189166,352,2.392e+09,3385220756,9.33333396911621,1,1,0,1,9,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0.449,0.498,0.553,0,-0.777,-1.268,4594336785737.67,1324655000,3468.32706307504,1199452000,0.905482559609861,"Laag",55.3,-77.7
"China",2009,7,45226038,209,1.373e+09,1950038625,6,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.449,0.498,0.551,0,-0.773,-1.274,5101691124285.21,1331260000,3832.2274569094,1074605800,0.807209560867148,"Laag",55.1,-77.3
"China",2010,5,140194136,1911,1.8171e+10,25391401667,14.6666669845581,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0.396,0.502,0.551,0,-0.794,-1.272,6087191746679.49,1337705000,4550.47394356715,1037512600,0.775591479436797,"Zeer laag",55.1,-79.4
"China",2011,5,93360000,628,10704130000,14499771243,14.6666669845581,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0.396,0.483,0.551,0,-0.798,-1.27,7551545703440.75,1345035000,5614.38602225277,-508176400,-0.377816488046779,"Zeer laag",55.1,-79.8
"China",2012,12,32992000,622,14970333000,19867626237,8.66666698455811,1,1,0,0,6,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0.396,0.485,0.541,0,-0.795,-1.267,8532185381680.59,1354190000,6300.58217951734,105684070,0.0780422761946256,"Zeer laag",54.1,-79.5
"China",2013,14,7684030,637,16598600000,21710529607,14.6666669845581,1,1,0,3,9,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0.394,0.48,0.49,0,-0.915,-1.341,9570471111831.68,1363240000,7020.38607422881,-510750240,-0.37465907690502,"Zeer laag",49,-91.5
"China",2014,13,23581500,473,9.667e+09,12442337204,12.6666669845581,1,1,0,2,8,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0.395,0.489,0.486,0,-0.94,-1.324,10475624944355.2,1371860000,7636.07434020614,-822377400,-0.599461606869506,"Zeer laag",48.6,-94
"China",2015,12,1374371,310,6.992e+09,8988698448,12.6666669845581,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0.395,0.489,0.481,0,-0.997,-1.332,11061572618578.7,1379860000,8016.44559489999,-211422670,-0.153220377429594,"Zeer laag",48.1,-99.7
"China",2016,12,61308000,816,3.1793e+10,40362877159,18.6666660308838,1,1,0,2,8,1,0,0,0,0,0,0,1,0,0,2,2,1,1,0,0.395,0.489,0.481,0,-1.011,-1.335,11233313730348.7,1387790000,8094.39016735147,-623255200,-0.449099071185122,"Zeer laag",48.1,-101.1
"China",2017,12,12333608,231,8.446e+09,10498997060,20.6666660308838,2,2,0,1,8,0,1,1,0,0,0,1,0,0,1,2,2,1,2,0,0.392,0.489,0.482,0,-1.03,-1.289,12310491333980.9,1396215000,8817.04560829163,-866948500,-0.620927650827416,"Zeer laag",48.2,-103
"China",2018,8,3698400,244,4569972000,5545364591,8.66666698455811,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0.392,0.489,0.476,0,-1.08,-1.277,13894907857880.6,1402760000,9905.40638304528,-575090800,-0.409970914482877,"Zeer laag",47.6,-108
"China",2019,6,4887261,355,6.605e+09,7872075959,9.33333396911621,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0.392,0.489,0.462,0,-1.141,-1.294,14279968506271.7,1407745000,10143.8602206164,-461198880,-0.327615356474361,"Zeer laag",46.2,-114.1
"China",2020,5,14274120,410,2.18e+10,25665417711,9.33333396911621,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.393,0.485,0.457,0,-1.142,-1.293,14687744162801,1411100000,10408.7195541074,-411555330,-0.291655679965984,"Zeer laag",45.7,-114.2
"China",2021,4,17626100,391,1.8461e+10,20759142190,18,1,1,0,4,9,1,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,0.4,0.485,0.468,0,-1.103,-1.234,17820459508852.2,1412360000,12617.5051041181,-451758880,-0.319860998612252,"Zeer laag",46.8,-110.3
"China",2022,4,9200,124,5e+09,5205820325,12.6666669845581,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0.411,0.43,0.465,0,-1.188,-1.23,17881782683707.3,1412175000,12662.5826712039,-280478100,-0.198614265229168,"Zeer laag",46.5,-118.8
"India",2005,17,28281571,2129,6.19e+09,9657880089,24,0,2,2,2,8,0,0,0,0,1,0,2,1,1,2,2,0,1,1,0,0.375,0.352,0.548,2,1.308,1.313,820383763511.445,1154676322,710.488080408949,4144046300,3.58892463718503,"Hoog",54.8,130.8
"India",2006,17,7234178,1194,3.39e+09,5123916358,30.6666660308838,0,4,3,3,8,0,0,0,0,1,1,2,1,1,2,2,1,1,1,0,0.355,0.354,0.548,2,1.311,1.313,940259888787.721,1172878890,801.668353659022,2957694000,2.52173862554556,"Hoog",54.8,131.1
